# Sampling station data to accompany: Carbon isotopic fractionation in organic matter production consistent with benthic community composition across a coral reef flat
# Contact the corresponding author David A. Koweek with any questions (dkoweek@carnegiescience.edu)
# Variable descriptions:
# Line = Front (F); Middle (M); or Back (B) line
# Line_Position = Position of each sample on each line referenced from the center of each line (meters; negative values are south of the midpoint)
# d13C_DIC = Stable isotopic composition of DIC (relative to VPDB standard)
# TA = Total alkalinity (umol/kg)
# DIC = Dissolved inorganic carbon (umol/kg)
# ============================================================
Sample_Date,Line,Line_Position,d13C_DIC,TA,DIC
2016-09-12,B,-16,1.08,2216,1843
2016-09-12,B,-10,0.71,2207,1828
2016-09-12,B,-7,0.79,2216,1848
2016-09-12,B,-5,1.05,2215,1848
2016-09-12,B,-3,0.99,2210,1834
2016-09-12,B,-2,0.98,2213,1838
2016-09-12,B,-1,0.9,2212,1835
2016-09-12,B,0,0.96,2206,1826
2016-09-12,B,1,1.09,2192,1798
2016-09-12,B,2,1.19,2198,1803
2016-09-12,B,3,1.1,2193,1797
2016-09-12,B,5,0.85,2186,1781
2016-09-12,B,7,1.32,2151,1714
2016-09-12,B,10,0.98,2150,1707
2016-09-12,B,16,1.01,2168,1743
2016-09-12,F,-16,0.36,2260,1977
2016-09-12,F,-4,0.63,2249,1947
2016-09-12,F,-0.5,-0.41,2264,1973
2016-09-12,F,0,-0.21,2261,1966
2016-09-12,F,1.5,-0.63,2232,1889
2016-09-12,F,4,0.26,2267,1980
2016-09-12,F,16,0.78,2227,1880
2016-09-12,M,-16,0.81,2241,1903
2016-09-12,M,-8,0.64,2241,1903
2016-09-12,M,-4,0.65,2236,1893
2016-09-12,M,-2,0.83,2236,1884
2016-09-12,M,-1,0.82,2233,1874
2016-09-12,M,0,0.89,2229,1863
2016-09-12,M,1,1.08,2227,1860
2016-09-12,M,2,0.94,2224,1854
2016-09-12,M,4,0.93,2214,1836
2016-09-12,M,8,1.13,2191,1778
2016-09-12,M,16,0.51,2228,1865
2016-09-15,B,-16,0.93,2210,1826
2016-09-15,B,-10,1.15,2205,1817
2016-09-15,B,-7,0.84,2212,1831
2016-09-15,B,-5,1.03,2211,1824
2016-09-15,B,-3,0.96,2200,1809
2016-09-15,B,-2,1.21,2201,1807
2016-09-15,B,-1,1.03,2196,1800
2016-09-15,B,0,1.13,2190,1789
2016-09-15,B,1,1.27,2180,1767
2016-09-15,B,2,1.32,2182,1764
2016-09-15,B,3,1.09,2176,1759
2016-09-15,B,5,1.41,2168,1740
2016-09-15,B,7,1.21,2158,1727
2016-09-15,B,10,1.23,2156,1721
2016-09-15,B,16,1.26,2134,1683
2016-09-15,F,-16,0.36,2264,1981
2016-09-15,F,-4,0.49,2259,1958
2016-09-15,F,-2,0.5,2245,1926
2016-09-15,F,-1.5,0.57,2215,1889
2016-09-15,F,-0.5,0.56,2256,1956
2016-09-15,F,0,0.58,2253,1948
2016-09-15,F,0.5,0.52,2259,1962
2016-09-15,F,1.5,0.57,2252,1949
2016-09-15,F,4,0.52,2256,1958
2016-09-15,F,16,0.8,2224,1865
2016-09-15,M,-16,0.68,2238,1890
2016-09-15,M,-8,0.89,2238,1898
2016-09-15,M,-4,0.41,2231,1883
2016-09-15,M,-2,0.89,2225,1866
2016-09-15,M,-1,0.94,2219,1847
2016-09-15,M,0,0.99,2213,1827
2016-09-15,M,1,1.19,2216,1827
2016-09-15,M,2,1.12,2217,1833
2016-09-15,M,4,0.86,2211,1830
2016-09-15,M,8,1.07,2210,1819
2016-09-15,M,16,1.03,2203,1810
2016-09-18,B,-16,0.74,2275,1975
2016-09-18,B,-10,0.72,2269,1969
2016-09-18,B,-7,0.63,2272,1974
2016-09-18,B,-5,0.82,2271,1974
