# Isotopic fractionation factor summary data to accompany: Carbon isotopic fractionation in organic matter production consistent with benthic community composition across a coral reef flat
# Contact the corresponding author David A. Koweek with any questions (dkoweek@carnegiescience.edu)
# Variable descriptions:
# e_caco3 = Assumed isotopic fractionation factor for net calcification (per mil) for which e_om estimates are made
# min = Minimum e_om estimate for corresponding zone and e_caco3 value from bootstrap (per mil)
# quartile1 = 25% percentile of e_om estimate for corresponding zone and e_caco3 value from bootstrap (per mil)
# mean = Mean e_om estimate for corresponding zone and e_caco3 value from bootstrap (per mil)
# median = Median e_om estimate for corresponding zone and e_caco3 value from bootstrap (per mil)
# quartile3 = 75% percentile of e_om estimate for corresponding zone and e_caco3 value from bootstrap (per mil)
# max = Maximum e_om estimate for corresponding zone and e_caco3 value from bootstrap (per mil)
# ============================================================
Zone,e_caco3,min,quartile1,mean,median,quartile3,max
Front,-5,-22.6,-16,-14.3,-14.2,-12.5,-8.2
Front,-4,-22.9,-16.2,-14.5,-14.4,-12.7,-8.4
Front,-3,-23.2,-16.4,-14.7,-14.6,-12.9,-8.6
Front,-2,-23.5,-16.6,-14.9,-14.8,-13.1,-8.8
Front,-1,-23.8,-16.8,-15.1,-15,-13.3,-9
Front,0,-24,-17,-15.3,-15.2,-13.5,-9.2
Front,1,-24.3,-17.2,-15.5,-15.4,-13.7,-9.4
Front,2,-24.6,-17.4,-15.7,-15.6,-13.9,-9.6
Front,3,-24.9,-17.6,-15.9,-15.8,-14.1,-9.8
Front,4,-25.2,-17.8,-16.1,-16,-14.3,-9.9
Front,5,-25.5,-18,-16.3,-16.2,-14.5,-10.1
Back,-5,-17.2,-10.3,-9.3,-9.2,-8.2,-3.7
Back,-4,-17.5,-10.5,-9.6,-9.5,-8.5,-4
Back,-3,-17.7,-10.8,-9.8,-9.8,-8.8,-4.3
Back,-2,-18,-11.1,-10.1,-10,-9.1,-4.5
Back,-1,-18.3,-11.3,-10.4,-10.3,-9.3,-4.8
Back,0,-18.5,-11.6,-10.7,-10.6,-9.6,-5.1
Back,1,-18.8,-11.9,-10.9,-10.8,-9.9,-5.3
Back,2,-19.1,-12.1,-11.2,-11.1,-10.2,-5.6
Back,3,-19.3,-12.4,-11.5,-11.4,-10.5,-5.8
Back,4,-19.6,-12.7,-11.8,-11.7,-10.7,-6.1
Back,5,-19.9,-12.9,-12,-11.9,-11,-6.3
